"Código de barras",Código,Variantes,expected,counted
128,"129 P8SD220H","1.3 8v (Fire)",-1.0000,
1292A,"1292 A",,0.0000,
13020000103,1302000103,,1.0000,
1302000124,1302000124,,1.0000,
130205358R,"130205358R A",,9.0000,
130208342R,"130208342R E",,9.0000,
1302A00129,1302A00129,,2.0000,
1302E00129,1302E00129,,2.0000,
130CU00001,130CU00001,,2.0000,
1320100200,"1320100200 A",,6.0000,
1320100211,"1320100211 A","3.1 8v TD (4JG2)",-4.0000,
"1320100245 A","1320100245 A",,12.0000,
1320100252,"1320100252 A","3.0 8v TD (5L)",-4.0000,
1320160,1320160,,1.0000,
1320200200,"1320200200 E",,3.0000,
1320200211,"1320200211 E",,20.0000,
"1320200245 E","1320200245 E",,12.0000,
1320200252,"1320200252 E","3.0 8v TD (5L)",-4.0000,
"1336.Y8 AL",CCP1596,,4.0000,
133SR220,"133 SR220",,2.0000,
134SP254H2,"134 SP254H2",,2.0000,
"135 SHX254","135 SHX254",,1.0000,
135STP8M190H,"135 STP8M190H",,3.0000,
13A1000C,"13A 1000 C",,1.0000,
13A1290C,"13A 1290 C",,5.0000,
1401.83c,"1401 83c",,1.0000,
1402.83c,"1402 83c",,1.0000,
1405.82c,"1405 82c",,2.0000,
1406.87c,"1406 87c",,1.0000,
1407.80c,"1407 80c",,1.0000,
1408.87c,"1408 87c",,1.0000,
1409.80c,"1409 80c",,1.0000,
1409AR.80c,"1409 80c A/A",,4.0000,
1410.80c,"1410 80c",,1.0000,
1411.80c,"1411 80c",,1.0000,
1412.87c,"1412 87c",,1.0000,
1413.79c,"1413 79c",,2.0000,
1414.80c,"1414 80c",,1.0000,
1417.87c,"1417 87c",,1.0000,
1418.87c,"1418 87c",,2.0000,
141SP+254H,"141 SP +254H",,1.0000,
1423.92c,"1423 92c",,1.0000,
1424.82c,"1424 82c",,1.0000,
1425.92c,"1425 92c",,1.0000,
1426.82c,"1426 82c",,1.0000,
1427.82c,"1427 82c",,2.0000,
1428.92c,"1428 92c",,2.0000,
"143 SHP+ 230H","143 SHP+ 230H",,1.0000,
1430.92c,"1430 92c",,1.0000,
1431.92c,"1431 92c",,1.0000,
"148 SP254H","148 SP254H",,0.0000,
152SHDS300H,"152 SHDS300H",,2.0000,
"153 SP 260H","153 SP 260H",,1.0000,
153SP254H,"153 SP254H",,2.0000,
154AHD30,"154 AHD30",,2.0000,
16700R,16700R,,4.0000,
16783,16783,,5.0000,
168x24HSN,"168 STP8M240H",,1.0000,
"170 SHP254","170 SHP254",,1.0000,
1742.87c,"1742 87c",,1.0000,
1748A,1748A,,2.0000,
1748E,1748E,,0.0000,
17578,17578,,5.0000,
176,176,,0.0000,
17780,17780,,4.0000,
17814R,17814R,,1.0000,
1803.88c,"1803 88c","1.8 8v D (ENDURA D)",2.0000,
1807.88c,"1807 88c",,2.0000,
1808.88c,"1808 88c",,1.0000,
1809.88c,"1809 88c",,1.0000,
1815.88c,"1815 88c",,1.0000,
18437,18437,,0.0000,
1845.82c,"1845 82c",,0.0000,
1850.82c,"1850 82c",,2.0000,
18543R,18543R,,4.0000,
1860.88c,"1860 88c",,2.0000,
18605,18605,"1.7 8v D",-1.0000,
18652R,18652R,,0.0000,
1870.82c,"1870 82c",,1.0000,
18732,18732,,45.0000,
18732N,18732N,,6.0000,
"188 A","188 A",,1.0000,
"188 E","188 E",,1.0000,
1900.82c,"1900 82c",,1.0000,
1905.89c,"1905 89c",,1.0000,
1910.89c,"1910 89c",,1.0000,
19113R,19113R,,9.0000,
19128,19128,,5.0000,
1915.92c,"1915 92c",,1.0000,
1916.89c,"1916 89c",,2.0000,
1917.89c,"1917 89c",,1.0000,
1918.89c,"1918 89c",,1.0000,
1920,1920,,1.0000,
1930.90c,"1930 90c",,1.0000,
1931.88c,"1931 88c",,1.0000,
19789241547884300,"1303-E / 26208 E",,8.0000,
19789241547888300,"303-A / 6208 A",,16.0000,
19789241547905300,"22524 E / 23141-E",,8.0000,
19789241547912300,"3147-E / 21311 E",,8.0000,
19789241547931300,"2524 A / 3140-A",,8.0000,
19789241547937300,"3146-A / 1311 A","1.6 8v (C16SE)",-1.0000,
19789241547953300,"23238-E / 21605 E",,12.0000,
19789241547955300,"3312-A / 1204 A",,28.0000,
19789241548066300,"3598-A / 1260 A",,8.0000,
19789241548070300,"3599-E / 21260 E",,8.0000,
197892415523177000,"S63010 0.50",,1.0000,
19789241556473300,"21626 A",,8.0000,
19789241556493300,"21626 E",,4.0000,
19789241558180300,"1145 A",,16.0000,
19789241558210300,"23345-E / 22101 E",,8.0000,
197892415598724000,"TH10322 STD",,1.0000,
197892415608683000,"TH10314 0.50",,2.0000,
19789241562670300,"21145 E",,8.0000,
19789241562674300,"3344-A / 22101 A",,8.0000,
19789241564275300,"3240-A / 2140 A",,7.0000,
19789241564276300,"3420-A / 21357 A",,4.0000,
19789241564282300,"23240-E / 22140 E",,8.0000,
19789241564289300,"23421-E / 21357 E",,12.0000,
19789241564304300,"3197-E / 21710 E",,12.0000,
19789241582014300,"3168-A / 1213 A",,12.0000,
19789241582036300,"363-A / 1055 A",,12.0000,
19789241582047300,"3860-A / 1256 A",,12.0000,
19789241582069300,"847-A / 1114 A",,16.0000,
19789241582099300,"1828-A / 21706 A",,4.0000,
19789241582158300,"292-A / 1070 A","2.0 8v (504/505)",-3.0000,
19789241582166300,"381-A / 1075 A",,8.0000,
19789241582168300,"3241-A / 1151 A","XD3 (INDENOR)",4.0000,
19789241582171300,"3304-A / 1206 A",,4.0000,
19789241582180300,"3616-A 1423 A",,8.0000,
19789241582267300,"3040-A /21564 A",,4.0000,
19789241582304300,"3196-A / 1710 A",,12.0000,
19789241582326300,"5102 A",,0.0000,
19789241582341300,1624-A,,8.0000,
19789241582462300,"3169-E / 21213 E",,12.0000,
19789241582509300,"1363-E / 21155 E",,12.0000,
19789241582535300,"1847-E / 21114 E",,12.0000,
19789241582567300,"1828-E / 21706 E",,12.0000,
19789241582636300,"23241-E / 21051 E","488 (INDENOR)",1.0000,
19789241582640300,"1381-E / 21057 E",,8.0000,
19789241582643300,"1292-E / 21170 E",,8.0000,
19789241582645300,"3303-E / 21206 E",,4.0000,
19789241582656300,"3617-E 21423 E",,8.0000,
1978924158273030,"1815-E / 21104 E",,16.0000,
19789241582734300,"3041-E / 21564 E",,8.0000,
19789241582802300,"25102 E",,0.0000,
19789241586998300,"367-A / 1087 A",,10.0000,
19789241587536300,"23036 ECP+08",,6.0000,
19789241587581300,"1367-E / 21087 E",,6.0000,
"20'135-5 A 001","20-135/5 STD",,4.0000,
"20'136-5 A 001","20-136/5 STD",,2.0000,
"20'139-5 a 001","20-139/5 STD",,1.0000,
"20'139-5 a 008","20-139/5 010",,0.0000,
"20'156-5 A 001","20-156/5 STD",,3.0000,
"20'156-5 A 008","20-156/5 010",,2.0000,
"20'178-5 A 008","20-178/5 010",,2.0000,
"20'240-5 A 001","20-240/5 STD",,2.0000,
"20'241-5 A 001","20-241/5 STD",,2.0000,
"20'241-5 A 008","20-241/5 010",,0.0000,
"20'244-5 A 001","20-244/5 STD",,1.0000,
"20'244-5 A 010","20-244/5A 010",,1.0000,
"20'246-5 a 001","20-246/5 STD",,1.0000,
"20'247-5 A 001","20-247/5 STD",,2.0000,
"20'371-5 A 001","20-371/5 STD","1.0 8v",-1.0000,
"20'371-5 A 009","20-371/5 020",,1.0000,
"20'417-5 A 001","20-417/5 STD",,2.0000,
"20'479-5 a 001","20-479/5 STD",,0.0000,
"20'479-5 A 008","20-479/5 010",,2.0000,
"20'479-5 a 010","20-479/5 030",,1.0000,
"20'734-5 A 001","20-734/5 STD",,2.0000,
"20'765-5 A 008","20-765/5 010",,1.0000,
"20'775-5 A 001","20-775/5 STD",,2.0000,
"20'777-5 a 001","20-777/5 STD",,1.0000,
"20'873-5 A 001","20-873/5 STD",,4.0000,
20-135/5,"20-135/5 010",,1.0000,
20-136/5,"20-136/5 010",,2.0000,
"20-240/5 0.10","20-240/5 010",,2.0000,
"20-240/5 0.20","20-240/5 020",,1.0000,
"20-244/5A 020","20-244-5A 020",,1.0000,
"20-244/5A 030","20-244-5A 030",,1.0000,
20-246/5,"20-246/5 050",,1.0000,
"20-247/5A 020","20-247/5A 020",,1.0000,
"20-247/5A 030","20-247/5A 030",,1.0000,
20-371/5,"20-371/5 010",,2.0000,
"20-419/5 A","20-419/5 STD",,1.0000,
"20-419/5 A 010","20-419/5 010",,1.0000,
"20-628/5 .010","20-628/5 STD",,2.0000,
20-628/5010,"20-628/5 010",,3.0000,
"20-734/5 0,30 / .010","20-734/5 0,30 / .010","1.7 8v D (XUD7)",1.0000,
"20-734/5 0,50 / .020","20-734/5 0,50 / .020",,2.0000,
"20-734/5 0,80 / .030","20-734/5 0,80 / .030","1.7 8v D (XUD7)",1.0000,
"20-773/5 010","20-773/5 010",,1.0000,
20-773/5STD,"20-773/5 STD",,1.0000,
"20-775/5 010","20-775/5 010",,-12.0000,
"20-776/5 STD","20-776/5 STD",,1.0000,
"20-810/5 STD","20-810/5 STD",,2.0000,
2000150,2000150,,3.0000,
2000160,2000160,,1.0000,
2000170,2000170,,1.0000,
200035004,200035004,,1.0000,
200035020,200035020,,1.0000,
200090-0.80,"TC-200090 0.80mm",,2.0000,
200090-1MM,"TC-200090 1mm",,4.0000,
200895,"JD 200895",,2.0000,
202,202,,1.0000,
20910-02B00,JR-TH075,,1.0000,
20910-22A00,JR-TH064,,1.0000,
20910-38C00,JR-TH069,,1.0000,
2099300,2099300,,8.0000,
"211188 E","21188 E",,8.0000,
21167A,"21167 A",,8.0000,
21167E,"21167 E",,4.0000,
"21262 E","21262 E",,4.0000,
21292E,"21292 E",,0.0000,
"21358 E","21358 E",,12.0000,
21358A,"21358 A",,12.0000,
"21413 E","21413 E",,4.0000,
"2186 A","2186 A",,1.0000,
"2187 E","2187 E",,1.0000,
2199300,2199300,,7.0000,
"22 7160-0.50","22 7160 0.50",,2.0000,
"22 7160-STD","22 7160 STD",,3.0000,
"22 7190-STD","22 7190 STD",,1.0000,
"22 7346-STD","22 7346 STD",,0.0000,
"22 7359-STD","22 7359 STD",,1.0000,
"22 7378-STD","22 7378 STD",,1.0000,
"22-7374 STD","22-7374 STD",,1.0000,
22-7380-STD,"22 7380 STD",,1.0000,
"227176 STD","22 7176 STD",,0.0000,
230195-3M,"JD 230195 3M",,2.0000,
230295-3M,"JD 230295 3M",,1.0000,
2305,2305,,1.0000,
23250-22040,23250-22040,,12.0000,
236,236,,0.0000,
244095,"JD 244095",,1.0000,
250190-0.80,"TC-250190 0.80mm",,5.0000,
250406-SUPERMEDIDA,"TC-250406 SUPERMEDIDA",,4.0000,
"252395 MLS","JD 252395 MLS",,2.0000,
252801-R,252801-R,,1.0000,
260390-0.80,"TC-260390 0.80mm",,3.0000,
"2611 E","2611 E",,0.0000,
"26411 E","26411 E",,4.0000,
27026/0,27026/0,,1.0000,
27101/1,27101/1,,1.0000,
27102/0,27102/0,,2.0000,
280150446,280150446,,4.0000,
280150702,280150702,,4.0000,
280150774,280150774,,6.0000,
280150935,280150935,,4.0000,
280150962,280150962,,7.0000,
280155769,280155769,,4.0000,
280155812,280155812,,8.0000,
280155820,280155820,,3.0000,
280155821,280155821,,4.0000,
280155822,280155822,,4.0000,
280155929,280155929,,4.0000,
280156020,280156020,,8.0000,
280156295,280156295,,4.0000,
280158046,280158046,,6.0000,
"2V811600K0J0.50   4","2V811600 0.50",,1.0000,
"30'131-1 A 001","30-131/1 STD",,1.0000,
"30'136-1 a 001","30-136/1 STD",,2.0000,
"30'241-1 A 001","30-241/1 STD",,2.0000,
"30'247-1 A 001","30-247/1 STD",,2.0000,
"30'247-1 A 510","30-247/1 010",,1.0000,
"30'412-2 A 001","30-412/2 STD",,2.0000,
"30'412-2 A 5","30-412/2 0.05",,1.0000,
"30'416-2 A 001","30-416/2 STD",,2.0000,
"30'416-2 a 537","30-416/2 0.15",,1.0000,
"30'479-2 A 001","30-479/2 STD",,3.0000,
30-135/1STD,"30-135/1 STD",,1.0000,
"30-240/1 STD","30-240/1 STD",,1.0000,
"30-246/1 STD","30-246/1 STD",,2.0000,
"30-479/2 0.05","30-479/2 0.05",,1.0000,
30-775/1,"30-775/1 STD",,2.0000,
"30-775/1 A 0.05","30-775/1 0.05",,2.0000,
"30-776/1 STD","30-776/1 STD",,2.0000,
"30-810 STD","30-810 STD",,2.0000,
30028/0,30028/0,,1.0000,
30142/0,30142/0,,1.0000,
30148/0,30148/0,,2.0000,
30153/0,30153/0,,2.0000,
302007-1M,302007-1M,,1.0000,
302007-2M,302007-2M,,1.0000,
302007-3M,302007-3M,,1.0000,
3035,3035,,19.0000,
3040,3040,,20.0000,
3041,3041,,29.0000,
3050,3050,,5.0000,
30602,30602,,0.0000,
30607K,30607,,0.0000,
3064R,3064R,,28.0000,
3074R,3074R,,13.0000,
3078N,3078N,,24.0000,
3081006,"JD - 3M",,1.0000,
30903K,30903K,,1.0000,
3093552,JD-138,,3.0000,
3093553,JD-138,,2.0000,
310895,"JD 310895",,2.0000,
3109059,"JD 3M",,3.0000,
31502,31502,,1.0000,
31509,31509,,1.0000,
32015/0,32015/0,,1.0000,
32028/0,32028/0,,1.0000,
32121111,CWP1601,,2.0000,
"32790  STD","32790 STD",,0.0000,
34001/0,34001/0,,2.0000,
34004/0,34004/0,,2.0000,
34007/0,34007/0,,1.0000,
34009/1,34009/1,,0.0000,
34009/2,B7011580,,1.0000,
34011/0,34011/0,,1.0000,
34013/1,34013/1,,0.0000,
"34014/0 8.10","34014/0 8.10",,1.0000,
"34014/0 8.30","34014/0 8.30",,1.0000,
34015/0,34015/0,,4.0000,
340295,"JD 340295",,1.0000,
34032/0,34032/0,,2.0000,
34033/0,34033/0,,0.0000,
34045/0,38045/0,,1.0000,
34053/2,34053/2,,2.0000,
34059/0,34059/0,,34.0000,
347,"136 SP254H",,2.0000,
35007/0,35007/0,,-1.0000,
35014/0,35014/0,,2.0000,
35020/0,35020/0,,1.0000,
"3514 A / 1163 A","3514-A / 1163 A",,8.0000,
3515-E,"3515-E / 21163 E",,8.0000,
36,"118 SP+300H",,2.0000,
36263/0,36263/0,,1.0000,
