146,AL-146,code128,9,11,unidad,1,1,2.097,2243,04,1,No Tax,exclusive,14072016_1422191.jpeg,,Ducato,1.9 8v D-1.9 8v TD,32,0,0,21,30,,BH
535,AL-535,code128,9,11,unidad,1,1,2.255,2412,04,2,No Tax,exclusive,13072016_1523051.jpeg,,Duna| Uno| Palio| Siena| Regatta,1.4 8v (Tipo)-1.6 8v (Tipo),32,0,0,21,30,,AMOROSO
36234/0,AL-36234/0,code128,9,11,unidad,1,1,0,0,00,2,No Tax,exclusive,15072016_1420281.jpeg,,Palio| Siena,1.6 16v (Torque),36,0,0,21,30,,CYC
024M,AL-024M,code128,9,11,unidad,1,1,1.560,1668,64,1,No Tax,exclusive,15072016_1406191.jpeg,,Escort| Gol| Saveiro,1.6 8v (CHT),32,0,0,21,30,,MARSAGLIA
AL5930AB,AL5930AB,code128,9,11,unidad,1,1,1.906,2998,23,1,No Tax,exclusive,23112018_0916431.jpeg,,Ka,1.0 8v (ZETEC ROCAM),0,0,0,21,30,,STH
AL5927BB,AL5927BB,code128,9,11,unidad,1,1,2.039,3207,57,1,No Tax,exclusive,02102018_1354511.jpeg,,Fiesta| Ka| Focus| Eco Sport - De 1 sensor,1.6 8v (ZETEC ROCAM),0,0,0,21,30,,STH
4093,AL-4093,code128,9,11,unidad,1,1,2.159,2309,67,2,No Tax,exclusive,15072016_1404011.jpeg,,Fiesta| Ka,1.3 8v (Endura),32,0,0,21,30,,AMOROSO
140,AL-140,code128,9,11,unidad,1,1,2.268,2426,16,1,No Tax,exclusive,06062016_2130311.jpeg,,Taunus,2.0 8v (Taunus)-2.3 8v (Taunus),32,0,0,21,30,,AMOROSO
153,AL-153,code128,9,11,unidad,1,1,2.272,2429,69,2,No Tax,exclusive,12072016_1606571.jpeg,,Fiesta| Escort| Mondeo - Rosca 8mm,1.8 8v D (ENDURA D)-1.8 8v TD (ENDURA D),32,0,0,21,30,,AMOROSO
123,123,code128,9,11,unidad,1,1,2.565,2743,63,1,No Tax,exclusive,21092016_1459461.jpeg,,Falcon| F100,3.0 12v (188)-3.0 12v (Max Econo)-3.6 12v (221),32,0,0,21,30,,BH
124,124,code128,9,11,unidad,1,1,2.565,2743,63,1,No Tax,exclusive,21092016_1501561.jpeg,,Falcon SP,3.6 12v (221 SP),32,0,0,21,30,,BH
