CJBA0322 STD,CJBA0322,code128,Alfa Romeo,45,unidad,1,1,570,897.00,1,No Tax,exclusive,23112017_0953581.jpeg,56,145| 146| 155| 156,1.8 16v (TWIN SPARK)-2.0 16v (TWIN SPARK),0,0,0,21,30,,PERSAM
10-137/4 STD,10-137/4ASTD,code128,Alfa Romeo,45,unidad,1,1,259,406.90,0,No Tax,exclusive,23052019_0909361.jpeg,57,Alfa Romeo 145| 146| 156| 155,2.0 8v (Tempra)-1.8 16v (TWIN SPARK)-2.0 16v (TWIN SPARK),0,0,0,21,30,,ORIGINAL
6PK 1760,6PK1760,code128,Audi,46,unidad,1,1,771,703.78,1,No Tax,exclusive,07042017_1206231.jpeg,59,2.4 V6 - A3,NULL,42,0,0,21,30,,FADECYA
108-A,04108'a,code128,Borgward,40,unidad,1,1,112,175.46,0,No Tax,exclusive,16032015_1357401.png,,Borgward 52 HP,NULL,0,0,0,21,30,,FADECYA
1109-E,041109'e,code128,Borgward,40,unidad,1,1,122,192.26,0,No Tax,exclusive,16032015_1356271.png,,Borgward 52 HP,NULL,0,0,0,21,30,,FADECYA
4000101,4000101,code128,Chevrolet,39,unidad,1,1,5.920,9312.86,1,No Tax,exclusive,26022019_1307171.jpeg,,Corsa| Meriva,1.6 8v (C16SE)-1.8 8v (MPFI),0,0,0,21,30,,FADECYA
TAP0354AR,TAP0354AR,code128,Chevrolet,39,unidad,1,1,8.392,13200.00,1,No Tax,exclusive,24072015_1516181.jpeg,,Corsa| Agile| Fun| Onix| Prisma| Celta - Armada con valvula - Botador de 16x51mm,1.4 8v (MPFI),0,0,0,21,30,,PERSAM
4000100,4000100,code128,Chevrolet,39,unidad,1,1,15.831,24902.48,1,No Tax,exclusive,07042015_1535501.jpeg,,Corsa| Corsa Combo,1.7 D (4EE1)-1.7 TD (4EE1T),0,0,0,21,30,,PERSAM
V140275A,V140275A,code128,Chevrolet,40,unidad,1,1,95,172.50,8,No Tax,exclusive,,,Corsa| Meriva,1.6 8v (C16SE)-1.8 8v (MPFI),0,0,0,21,50,,FEDERAL MOGUL
3146-A / 1311 A,19789241547937300,code128,Chevrolet,40,unidad,1,1,107,168.11,8,No Tax,exclusive,24122015_0727181.jpeg,,Corsa| Meriva,1.6 8v (C16SE)-1.8 8v (MPFI),0,0,0,21,30,,PERSAN
3168-A / 1213 A,19789241582014300,code128,Chevrolet,40,unidad,1,1,125,196.13,16,No Tax,exclusive,15032016_1505441.jpeg,,Corsa| Corsa Combo,1.7 D (4EE1)-1.7 TD (4EE1T),0,0,0,21,30,,ORIGINAL
V140276E,V140276E,code128,Chevrolet,40,unidad,1,1,129,234.32,8,No Tax,exclusive,,,Corsa| Meriva,1.6 8v (C16SE)-1.8 8v (MPFI),0,0,0,21,50,,FADECYA
3147-E / 21311 E,19789241547912300,code128,Chevrolet,40,unidad,1,1,156,244.94,8,No Tax,exclusive,24122015_0727281.jpeg,,Corsa| Meriva,1.6 8v (C16SE)-1.8 8v (MPFI),0,0,0,21,30,,FADECYA
2524 A / 3140-A,19789241547931300,code128,Chevrolet,40,unidad,1,1,158,247.79,8,No Tax,exclusive,28082015_1230251.jpeg,,2.0 16v - Nafta - Zafira| Astra| Vectra,NULL,0,0,0,21,30,,FADECYA
3169-E / 21213 E,19789241582462300,code128,Chevrolet,40,unidad,1,1,159,250.76,16,No Tax,exclusive,15032016_1506391.jpeg,,Corsa| Corsa Combo,1.7 D (4EE1)-1.7 TD (4EE1T),0,0,0,21,30,,PERSAM
6311 A,6311 A,code128,Chevrolet,40,unidad,1,1,161,253.96,4,No Tax,exclusive,09082018_1522451.jpeg,,Meriva - 5|96 x 38 x 101|05 mm,1.8 8v (POWE TRIM),0,0,0,21,30,,FADECYA
21413 E,21413 E,code128,Chevrolet,40,unidad,1,1,170,266.75,8,No Tax,exclusive,23112018_0858321.jpeg,,Meriva,1.7 16v DTI (X17DTL),0,0,0,21,30,,FADECYA
4006-A / 1501 A,044006'AC,code128,Chevrolet,40,unidad,1,1,170,268.07,8,No Tax,exclusive,22082018_1524181.jpeg,,Corsa classic| Agile| Celta| fun - Guia 6mm,1.4 8v (MPFI)-1.4 8v (G3),0,0,0,21,30,,FADECYA
26411 E,26411 E,code128,Chevrolet,40,unidad,1,1,185,291.44,4,No Tax,exclusive,09082018_1526541.jpeg,,Meriva - 5|94 x 31 x 101|5,1.8 8v (POWE TRIM),0,0,0,21,30,,FADECYA
22524 E / 23141-E,19789241547905300,code128,Chevrolet,40,unidad,1,1,211,331.51,8,No Tax,exclusive,28082015_1232481.jpeg,,2.0 16v - Nafta - Zafira| Astra| Vectra,NULL,0,0,0,21,30,,PERSAM
4007-E / 21501 E,044007'ECB,code128,Chevrolet,40,unidad,1,1,211,332.11,8,No Tax,exclusive,22082018_1525471.jpeg,,Corsa classic| Agile| Celta| fun - Guia 6mm,1.4 8v (MPFI)-1.4 8v (G3),0,0,0,21,30,,PERSAM
1000900,1000900,code128,Chevrolet,42,unidad,1,1,500,500.00,1,No Tax,exclusive,31012019_1046401.jpeg,,Soporte de bobina - Carso| Meriva| Fun| todos,1.0 8v-1.4 8v (EFI)-1.4 8v (MPFI)-1.4 8v (G3)-1.6 8v (C16SE)-1.8 8v (POWE TRIM)-1.8 8v (MPFI),0,0,0,0,0,,FEDERAL MOGUL
BU00100,burro00100,code128,Chevrolet,42,unidad,1,1,1.000,1000.00,1,No Tax,exclusive,06052015_0807141.jpeg,,BURRO DE ARRANQUE - 1.6 8v - Nafta - Corsa - Reacondicionado,NULL,0,0,0,0,0,,MAHLE
